                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.0925,                 1.4203,                 1.2417,                0.21491,                0.06487,                0.07119,                0.03005,                 2.5572,                 1.7961,                 1.4158,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.1311,                 1.4259,                 1.2449,                0.21362,                0.06522,                0.06893,                 0.0285,                 2.5665,                 1.8276,                 1.4501,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.0912,                 1.4247,                 1.2427,                0.20754,                0.06162,                0.06704,                0.02899,                 2.5377,                 1.8828,                 1.4418,             0.00056128,             0.00056128,             0.00056128
                     69,                  2.085,                 1.4038,                 1.2442,                0.21571,                 0.0611,                 0.0674,                0.02892,                 2.5634,                 1.8675,                 1.4464,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.0945,                 1.4018,                 1.2467,                0.19501,                0.05973,                0.06258,                0.02605,                 2.5822,                 1.9272,                 1.4336,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.0794,                  1.378,                  1.226,                0.19571,                0.05554,                0.06077,                  0.026,                 2.5886,                 2.1692,                 1.4453,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.1118,                 1.4016,                 1.2381,                0.20492,                 0.0628,                0.06534,                0.02704,                 2.5936,                 1.8673,                 1.4429,             0.00049527,             0.00049527,             0.00049527
                     73,                  2.071,                 1.3787,                 1.2315,                0.20064,                0.06257,                0.06494,                0.02746,                 2.5812,                 1.9299,                 1.4605,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.0443,                 1.3657,                 1.2259,                 0.2095,                0.06097,                0.06731,                0.02851,                 2.5891,                 1.9651,                 1.4628,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.0922,                 1.3743,                 1.2361,                0.18702,                0.05807,                0.06197,                0.02515,                 2.5978,                 2.0998,                 1.4488,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.0752,                 1.3522,                 1.2238,                0.20645,                0.06069,                0.06353,                0.02743,                 2.5656,                 1.9308,                 1.4371,             0.00042925,             0.00042925,             0.00042925
                     77,                 2.0297,                  1.321,                  1.208,                0.18682,                0.05864,                 0.0601,                0.02515,                 2.6121,                 2.0215,                 1.4449,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.0505,                 1.3396,                 1.2235,                0.19754,                0.06156,                0.06877,                0.02861,                 2.6173,                 1.9933,                 1.4672,             0.00039625,             0.00039625,             0.00039625
                     79,                  2.058,                 1.3536,                 1.2312,                0.20788,                0.06155,                0.06581,                0.02746,                 2.5928,                  1.909,                 1.4616,             0.00037974,             0.00037974,             0.00037974
                     80,                 2.0374,                 1.3605,                 1.2306,                0.18114,                0.05993,                0.05903,                0.02476,                 2.5802,                 2.0258,                 1.4665,             0.00036324,             0.00036324,             0.00036324
                     81,                 2.0448,                 1.3411,                 1.2197,                0.18988,                0.05944,                0.06187,                0.02525,                 2.5936,                 1.9942,                 1.4537,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.0195,                 1.3097,                 1.2029,                 0.1854,                0.06043,                0.06411,                0.02675,                 2.6059,                 2.0237,                 1.4604,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.976,                 1.2713,                 1.2002,                0.20411,                 0.0639,                0.06804,                0.02795,                  2.577,                  1.851,                 1.4554,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.0234,                 1.2908,                 1.2045,                0.19526,                0.05959,                0.06231,                 0.0253,                 2.5994,                 2.0015,                 1.4653,             0.00029723,             0.00029723,             0.00029723
                     85,                  2.002,                 1.2923,                 1.2046,                0.20516,                0.06191,                0.06546,                0.02645,                 2.6073,                 1.8891,                 1.4863,             0.00028072,             0.00028072,             0.00028072
                     86,                 2.0092,                 1.2933,                 1.2053,                 0.2002,                0.05607,                0.06013,                0.02531,                 2.6025,                 2.1014,                 1.4668,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.979,                 1.2675,                 1.2032,                0.19789,                0.06131,                0.06429,                 0.0266,                 2.5879,                  1.927,                 1.4719,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.957,                 1.2368,                 1.1882,                0.19331,                0.05703,                0.06142,                0.02532,                 2.6184,                 2.0653,                 1.4803,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.9927,                 1.2894,                 1.1972,                0.18372,                0.05872,                0.06152,                0.02552,                 2.6005,                 2.0527,                 1.4595,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.9755,                 1.2692,                 1.1837,                0.19005,                0.06002,                0.06195,                 0.0257,                 2.5893,                 1.9623,                 1.4641,             0.00019821,             0.00019821,             0.00019821
                     91,                 2.0595,                 1.3477,                 1.2187,                0.20166,                0.05573,                0.05922,                 0.0239,                 2.6272,                 1.9694,                 1.4988,              0.0001817,              0.0001817,              0.0001817
                     92,                 2.0292,                 1.3464,                 1.2101,                0.21313,                0.06054,                0.06469,                0.02639,                 2.6121,                 1.8955,                 1.4858,              0.0001652,              0.0001652,              0.0001652
                     93,                  1.993,                 1.2893,                 1.1859,                0.20685,                0.05959,                0.06467,                0.02734,                 2.6174,                 1.9647,                 1.4706,              0.0001487,              0.0001487,              0.0001487
                     94,                 2.0164,                 1.2766,                 1.1977,                0.20855,                0.05991,                0.06456,                0.02731,                 2.6172,                 1.9318,                 1.4742,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.9926,                 1.2426,                 1.1899,                0.20362,                 0.0605,                0.06476,                0.02671,                  2.612,                 1.9277,                 1.4836,             0.00011569,             0.00011569,             0.00011569
                     96,                  1.979,                 1.2602,                  1.193,                0.19054,                0.05879,                0.06329,                0.02572,                 2.6272,                 1.9555,                 1.4824,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.9846,                 1.2662,                 1.1866,                0.19208,                0.05833,                0.06168,                0.02553,                 2.6136,                 1.9896,                 1.4743,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                  1.984,                 1.2832,                 1.1933,                0.19754,                0.05787,                0.06127,                0.02575,                 2.6194,                 2.0124,                 1.4823,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.9736,                 1.2471,                 1.1853,                0.19641,                0.05849,                0.06192,                0.02609,                 2.6192,                 1.9753,                 1.4856,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.9605,                 1.2251,                 1.1841,                 0.1977,                0.05903,                0.06298,                0.02646,                 2.6184,                 1.9551,                 1.4807,             3.3173e-05,             3.3173e-05,             3.3173e-05
